S/N,School Name,Area,Type,GEP,SAP,,
1,Nanyang Primary School,Bukit Timah,Co-Ed,Yes,Yes,,
2,Catholic High School,Bishan,Boys’,Yes,Yes,,
3,Tao Nan School,Marine Parade,Co-Ed,Yes,Yes,,
4,Nan Hua Primary School,Clementi,Co-Ed,Yes,Yes,,
5,Saint Hilda's Primary School,Tampines,Co-Ed,Yes,No,,
6,Henry Park Primary School,Bukit Timah,Co-Ed,Yes,No,,
7,Anglo-Chinese School Primary,Novena,Boys’,Yes,No,,
8,Raffles Girls’ Primary School,Bukit Timah,Girls’,Yes,No,,
9,Pei Hwa Presbyterian Primary School,Bukit Timah,Co-Ed,No,Yes,,
10,CHIJ Saint Nicholas Girls' School,Ang Mo Kio,Girls’,No,Yes,,
11,Rosyth School,Serangoon,Co-Ed,Yes,No,,
12,Kong Hwa School,Geylang,Co-Ed,No,Yes,,
13,Poi Ching School,Tampines,Co-Ed,No,Yes,,
14,Holy Innocents' Primary School,Hougang,Co-Ed,No,Yes,,
15,Ai Tong School,Bishan,Co-Ed,No,Yes,,
16,Red Swastika School,Bedok,Co-Ed,No,Yes,,
17,Maris Stella High School,Toa Payoh,Boys’,No,Yes,,
18,Rulang Primary School,Jurong West,Co-Ed,No,No,,
19,Pei Chun Public School,Tao Payoh,Co-Ed,No,Yes,,
20,Singapore Chinese Girls’ Primary,Novena,Girls’,No,No,,
21,Methodist Girls’ School Primary,Bukit Timah,Girls’,No,No,,
22,Hong Wen School,Kallang,Co-Ed,No,Yes,,
23,Maha Bodhi School,Geylang,Co-Ed,No,Yes,,
24,Anglo-Chinese School (Junior),Central,Boys’,No,No,,
25,Fairfield Methodist School,Queenstown,Co-Ed,No,No,,
26,Paya Lebar Methodist Girls' School,Hougang,Girls’,No,No,,
27,Radin Mas Primary School,Bukit Merah,Co-Ed,No,No,,
28,South View Primary School,Choa Chu Kang,Co-Ed,No,No,,
29,Chongfu School,Yishun,Co-Ed,No,No,,
30,Saint Margaret's Primary School,Central,Girls’,No,No,,
31,Chongzheng Primary School,Tampines,Co-Ed,No,No,,
32,Punggol Primary School,Hougang,Co-Ed,No,No,,
33,Qifa Primary School,Clementi,Co-Ed,No,No,,
34,Admiralty Primary School,Woodlands,Co-Ed,No,No,,
35,Yangzheng Primary School,Serangoon,Co-Ed,No,No,,
36,Mayflower Primary School,Ang Mo Kio,Co-Ed,No,No,,
37,Woodlands Primary School,Woodlands,Co-Ed,No,No,,
38,Rivervale Primary School,Sengkang,Co-Ed,No,No,,
39,Bukit Panjang Primary School,Bukit Panjang,Co-Ed,No,No,,
40,Gongshang Primary School,Tampines,Co-Ed,No,No,,
41,Wellington Primary School,Sembawang,Co-Ed,No,No,,
42,Innova Primary School,Woodlands,Co-Ed,No,No,,
43,Princess Elizabeth Primary School,Bukit Batok,Co-Ed,No,No,,
44,Mee Toh School,Punggol,Co-Ed,No,No,,
45,CHIJ Primary,Toa Payoh,Girls’,No,No,,
46,Kheng Cheng School,Toa Payoh,Co-Ed,No,No,,
47,Haig Girls' School,Geylang,Girls’,No,No,,
48,Kuo Chuan Presbyterian Primary School,Bishan,Co-Ed,No,No,,
49,Hougang Primary School,Hougang,Co-Ed,No,No,,
50,Temasek Primary School,Bedok,Co-Ed,No,No,,
51,Anderson Primary School,Ang Mo Kio,Co-Ed,No,No,,
52,Saint Joseph's Institution Junior,Novena,Boys’,No,No,,
53,Shuqun Primary School,Jurong West,Co-Ed,No,No,,
54,Fengshan Primary School,Bedok,Co-Ed,No,No,,
55,CHIJ Our Lady of The Nativity,Hougang,Girls’,No,No,,
56,Xishan Primary School,Yishun,Co-Ed,No,No,,
57,Chua Chu Kang Primary School,Choa Chu Kang,Co-Ed,No,No,,
58,Xinmin Primary School,Hougang,Co-Ed,No,No,,
59,River Valley Primary School,Central,Co-Ed,No,No,,
60,Telok Kurau Primary School,Bedok,Co-Ed,No,No,,
61,Yu Neng Primary School,Bedok,Co-Ed,No,No,,
62,Nan Chiau Primary School,Sengkang,Co-Ed,No,No,,
63,Frontier Primary School,Jurong West,Co-Ed,No,No,,
64,Compassvale Primary School,Sengkang,Co-Ed,No,No,,
65,Woodgrove Primary School,Woodlands,Co-Ed,No,No,,
66,Xingnan Primary School,Jurong West,Co-Ed,No,No,,
67,Lakeside Primary School,Jurong West,Co-Ed,No,No,,
68,Elias Park Primary School,Pasir Ris,Co-Ed,No,No,,
69,Ngee Ann Primary School,Marine Parade,Co-Ed,No,No,,
70,Zhenghua Primary School,Bukit Panjang,Co-Ed,No,No,,
71,Saint Andrew's Junior School,Toa Payoh,Boys’,No,No,,
72,North View Primary School,Yishun,Co-Ed,No,No,,
73,Westwood Primary School,Jurong West,Co-Ed,No,No,,
74,East Spring Primary School,Tampines,Co-Ed,No,No,,
75,White Sands Primary School,Pasir Ris,Co-Ed,No,No,,
76,Saint Anthony's Primary School,Bukit Batok,Co-Ed,No,No,,
77,Zhangde Primary School,Bukit Merah,Co-Ed,No,No,,
78,Sengkang Green Primary School,Sengkang,Co-Ed,No,No,,
79,Geylang Methodist School,Geylang,Co-Ed,No,No,,
80,Yew Tee Primary School,Choa Chu Kang,Co-Ed,No,No,,
81,Saint Anthony's Canossian Primary School,Bedok,Girls’,No,No,,
82,Woodlands Ring Primary School,Woodlands,Co-Ed,No,No,,
83,Sembawang Primary School,Sembawang,Co-Ed,No,No,,
84,CHIJ Our Lady of Good Counsel,Serangoon,Girls’,No,No,,
85,Seng Kang Primary School,Sengkang,Co-Ed,No,No,,
86,Fernvale Primary School,Sengkang,Co-Ed,No,No,,
87,Pasir Ris Primary School,Pasir Ris,Co-Ed,No,No,,
88,Qihua Primary School,Woodlands,Co-Ed,No,No,,
89,Yumin Primary School,Tampines,Co-Ed,No,No,,
90,Concord Primary School,Choa Chu Kang,Co-Ed,No,No,,
91,Evergreen Primary School,Woodlands,Co-Ed,No,No,,
92,Tanjong Katong Primary School,Marine Parade,Co-Ed,No,No,,
93,Corporation Primary School,Jurong West,Co-Ed,No,No,,
94,Yio Chu Kang Primary School,Hougang,Co-Ed,No,No,,
95,Xinghua Primary School,Hougang,Co-Ed,No,No,,
96,Cedar Primary School,Toa Payoh,Co-Ed,No,No,,
97,De La Salle School,Choa Chu Kang,Co-Ed,No,No,,
98,Endeavour Primary School,Sembawang,Co-Ed,No,No,,
99,Keming Primary School,Bukit Batok,Co-Ed,No,No,,
100,Bendemeer Primary School,Kallang,Co-Ed,No,No,,
101,CHIJ,Bukit Merah,Girls’,No,No,,
102,First Toa Payoh Primary School,Toa Payoh,Co-Ed,No,No,,
103,Junyuan Primary School,Tampines,Co-Ed,No,No,,
104,Jurong West Primary School,Jurong West,Co-Ed,No,No,,
105,Boon Lay Garden Primary School,Jurong West,Co-Ed,No,No,,
106,West View Primary School,Bukit Panjang,Co-Ed,No,No,,
107,Zhonghua Primary School,Serangoon,Co-Ed,No,No,,
108,Greenwood Primary School,Woodlands,Co-Ed,No,No,,
109,Tampines Primary School,Tampines,Co-Ed,No,No,,
110,West Grove Primary School,Jurong West,Co-Ed,No,No,,
111,Jing Shan Primary School,Ang Mo Kio,Co-Ed,No,No,,
112,Horizon Primary School,Punggol,Co-Ed,No,No,,
113,Edgefield Primary School,Punggol,Co-Ed,No,No,,
114,Kranji Primary School,Choa Chu Kang,Co-Ed,No,No,,
115,North Vista Primary School,Sengkang,Co-Ed,No,No,,
116,Pioneer Primary School,Jurong West,Co-Ed,No,No,,
117,New Town Primary School,Queenstown,Co-Ed,No,No,,
118,Gan Eng Seng Primary School,Bukit Merah,Co-Ed,No,No,,
119,Stamford Primary School,Central,Co-Ed,No,No,,
120,Marymount Convent School,Toa Payoh,Girls’,No,No,,
121,Chij (Katong) Primary,Bedok,Girls’,No,No,,
122,Marsiling Primary School,Woodlands,Co-Ed,No,No,,
123,Damai Primary School,Bedok,Co-Ed,No,No,,
124,Yishun Primary School,Yishun,Co-Ed,No,No,,
125,Greendale Primary School,Punggol,Co-Ed,No,No,,
126,Dazhong Primary School,Bukit Batok,Co-Ed,No,No,,
127,Fuhua Primary School,Jurong East,Co-Ed,No,No,,
128,Northland Primary School,Yishun,Co-Ed,No,No,,
129,CHIJ Our Lady Queen of Peace,Bukit Panjang,Girls’,No,No,,
130,Casuarina Primary School,Pasir Ris,Co-Ed,No,No,,
131,Bedok Green Primary School,Bedok,Co-Ed,No,No,,
132,North Spring Primary School,Seng Kang,Co-Ed,No,No,,
133,Yuhua Primary School,Jurong East,Co-Ed,No,No,,
134,Eunos Primary School,Geylang,Co-Ed,No,No,,
135,Tampines North Primary School,Tampines,Co-Ed,No,No,,
136,Canberra Primary School,Sembawang,Co-Ed,No,No,,
137,Guangyang Primary School,Bishan,Co-Ed,No,No,,
138,Peiying Primary School,Yishun,Co-Ed,No,No,,
139,Bukit View Primary School,Bukit Batok,Co-Ed,No,No,,
140,Teck Ghee Primary School,Ang Mo Kio,Co-Ed,No,No,,
141,Jurong Primary School,Jurong East,Co-Ed,No,No,,
142,Montfort Junior School,Hougang,Boys’,No,No,,
143,Park View Primary School,Pasir Ris,Co-Ed,No,No,,
144,Beacon Primary School,Bukit Panjang,Co-Ed,No,No,,
145,Riverside Primary School,Woodlands,Co-Ed,No,No,,
146,Pei Tong Primary School,Clementi,Co-Ed,No,No,,
147,Naval Base Primary School,Yishun,Co-Ed,No,No,,
148,Alexandra Primary School,Bukit Merah,Co-Ed,No,No,,
149,Opera Estate Primary School,Bedok,Co-Ed,No,No,,
150,Canossa Catholic Primary School,Geylang,Co-Ed,No,No,,
151,Punggol View Primary School,Punggol,Co-Ed,No,No,,
152,Huamin Primary School,Yishun,Co-Ed,No,No,,
153,Ahmad Ibrahim Primary School,Yishun,Co-Ed,No,No,,
154,Saint Stephen's School,Bedok,Boys’,No,No,,
155,Punggol Green Primary School,Punggol,Co-Ed,No,No,,
156,Anchor Green Primary School,Seng Kang,Co-Ed,No,No,,
157,Ang Mo Kio Primary School,Ang Mo Kio,Co-Ed,No,No,,
158,Queenstown Primary School,Queenstown,Co-Ed,No,No,,
159,Meridian Primary School,Pasir Ris,Co-Ed,No,No,,
160,Greenridge Primary School,Bukit Panjang,Co-Ed,No,No,,
161,Clementi Primary School,Clementi,Co-Ed,No,No,,
162,Springdale Primary School,Sengkang,Co-Ed,No,No,,
163,West Spring Primary School,Bukit Panjang,Co-Ed,No,No,,
164,Lianhua Primary School,Bukit Batok,Co-Ed,No,No,,
165,Juying Primary School,Jurong West,Co-Ed,No,No,,
166,Fuchun Primary School,Woodlands,Co-Ed,No,No,,
167,Jiemin Primary School,Yishun,Co-Ed,No,No,,
168,Blangah Rise Primary School,Bukit Merah,Co-Ed,No,No,,
169,Teck Whye Primary School,Choa Chu Kang,Co-Ed,No,No,,
170,Bukit Timah Primary School,Bukit Timah,Co-Ed,No,No,,
171,Angsana Primary School,Tampines,Co-Ed,No,No,,
172,Unity Primary School,Choa Chu Kang,Co-Ed,No,No,,
173,Townsville Primary School,Ang Mo Kio,Co-Ed,No,No,,
174,Farrer Park Primary School,Kallang,Co-Ed,No,No,,
175,Palm View Primary School,Sengkang,Co-Ed,No,No,,
176,Waterway Primary School,Punggol,Co-Ed,No,No,,
177,Changkat Primary School,Tampines,Co-Ed,No,No,,
178,Oasis Primary School,Punggol,Co-Ed,No,No,,
179,Fern Green Primary School,Sengkang,Co-Ed,No,No,,
180,Saint Gabriel's Primary School,Serangoon,Boys’,No,No,,
181,Si Ling Primary School,Woodlands,Co-Ed,No,No,,
182,Cantonment Primary School,Bukit Merah,Co-Ed,No,No,,
183,Punggol Cove Primary School,Punggol,Co-Ed,No,No,,
184,Valour Primary School,Punggol,Co-Ed,No,No,,
185,Northoaks Primary School,Sembawang,Co-Ed,No,No,,
186,Northshore Primary School,Punggol,Co-Ed,No,No,,
