Drink Volume,Drink Name,Attributes,Energy,Trans Fat,Protein,Total Fat,Saturated Fat,Cholesterol,Carbohydrate,Sugars,Dietary Fibre,Sodium,Calcium,Iron,Vitamin C,Vitamin B2,Potassium,Chloride,Phosphate,Monounsaturated Fat,Polyunsaturated Fat,Sugar,Tea Polyphenols,Total Sugar,Trans Fatty Acid,Total Sugars,Niacin,Vitamin A,Vitamin B1,Vitamin D,Vitamin E,Thiamine (Vitamin B1),Riboflavin (Vitamin B2),Vitamin B6,Folic Acid,Vitamin B12,Biotin,Pantothenic Acid,Zinc,Beta Carotene,Lactose,Fat,Tea Polyphenois,Added Sugars,Calories,Calories from Fat,Vitamin B3,Vitamin D3,Magnesium,Thiamine,Riboflavin,Niacin (B3),Riboflavin (Vit B2),Nicotinamide,Total Carbohydrate,Sucrose,Natrium / Sodium,Salt,Catechin (mg),Omega 6,Omega 3,Niacinamide,Vitamin,Per Serving,Carbohydrates,Fibre,Fiber,Glucose,Maltose,Dietary fibre,Phosphorus,Vitamin B,Macing,Fats,Total Carbohydrates,Phosphorous,Vitamin K,Choline,Manganese,Copper,Iodine,Total Fats,Added Sugar,Calorie,Serving Per,Saturated fat,Trans fat,Proteins,Bicarbonates,Sulphates,Chlorides,Silica,Nitrates,Flourides,Ion,Fluorides,Acai Extract,Blueberry Extract,Pomegranate Extract,Sulfates,pH Value,Total Dissolved Solids,ats,Serving Size: 4.5 tbsp,Servings per container,Saturated Fats,Vit D
24 x 200ml (CTN),Milo Chocolate Malt Milk UHT Packet Drink,Per Serving,1.7g,1mg,1.7g,0.9g,0g,9.5g,8g,0.5g,30mg,60mg,0.8mg,5mg,0.1mg,1.4mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 320ml (CTN),Coca-Cola Can Drink - Zero Sugar,Per Serving (100ml),0kcal,,0g,0g,,,0g,0g,,8mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 180ml,Coca-Cola Mini Can Drink - Zero Sugar,Per Serving (180ml),0kcal,,0g,0g,,,0g,0g,,11mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 x 325ml (CTN),100 Plus Isotonic Can Drink - Original,Per Serving (100ml),27kcal,,0g,0g,,,6.8g,6.8g,,48mg,4mg,,,,14mg,39mg,17mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 x 200ml (CTN),Ribena Blackcurrant Fruit Packet Drink - Regular ,Per Serving (100g),43kcal,0g,0g,0g,0g,,10.6g,,,0mg,,,15mg,,,,,0g,0g,10.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 x 125ml,Milo Chocolate Malt Milk UHT Packet Drink,Per Serving,1.7g,1mg,1.7g,0.9g,0g,9.5g,8g,0.5g,30mg,60mg,0.8mg,5mg,0.1mg,1.4mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 250ml,Pokka Packet Drink - Ice Lemon Tea,Per Serving (250ml),100kcal,,0.0g,0.0g,0.0g,,25.0g,25.0g,,13mg,,,,,,,,,,,10mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5L,Pokka Bottle Drink - Peach Tea,Per Serving (250ml),88kcal,,0.0g,0.0g,0.0g,,22.0g,,,8mg,,,,,,,,,,,10mg,22.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 x 250ml (CTN),Pokka Packet Drink - Oolong Tea (No Sugar Added),Per Serving (250ml),0kcal,0g,0g,0g,0g,0mg,0g,0g,0g,13mg,,,,,,,,,,,100mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 x 27g,Milo 3 in 1 Instant Chocolate Malt Drink,Per Serving (27g),96kcal,,2.2g,2g,1g,2mg,16.4g,,1g,76mg,132mg,2.8mg,9.8g,0.9mg,,,,,,,,,0g,12.2g,2.8mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5L,Pokka Bottle Drink - Oolong Tea (No Sugar Added),Per Serving (250ml),0kcal,0g,0g,0g,0g,0mg,0g,0g,,13mg,,,,,,,,,,,100mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 x 200ml (CTN),Ribena Blackcurrant Fruit Drink Packet - Light,Per Serving (200ml),38kcal,0g,0g,0g,0g,0g,9.4g,8.8g,,20mg,,,30mg,,,,,0g,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 x 125g,Milo Chocolate Malt UHT Packet Drink - Less Sugar,Per Serving,108kcal,0g,4.6g,2.8g,1.6g,4mg,16g,11.8g,0g,90mg,240mg,1.6mg,,0.44mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450g,Milo Chocolate Malt Drink Powder with Milk - Australian Recipe,Per Serving (25g),105kcal/440kJ,,3.25g,,,,17.57g,11.6g,1g,27mg,114.75mg,7mg,,0.35mg,,,,,,,,,,,,131.25mcg,0.46mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 x 250ml (CTN),Pokka Packet Drink - Ice Lemon Tea,Per Serving (250ml),100kcal,,0.0g,0.0g,0.0g,,25.0g,25.0g,,13mg,,,,,,,,,,,10mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1L,Milo Chocolate Malt Milk UHT Packet Drink,Per Serving,1.7g,1mg,1.7g,0.9g,0g,9.5g,8g,0.5g,30mg,60mg,0.8mg,5mg,0.1mg,1.4mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 250ml,Pokka Packet Drink - Chrysanthemum with White Tea,Per Serving (250ml),55kcal,0g,0g,0g,0g,0mg,14g,14g,,15mg,,,,,,,,,,,30mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 250ml,Pokka Packet Drink - Chrysanthemum with White Tea,Per Serving (250ml),55kcal,0g,0g,0g,0g,0mg,14g,14g,,15mg,,,,,,,,,,,30mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 x 28g,Horlicks 3 in 1 Instant Malted Drink - Original,Per Serving (28g),107kcal,0g,3.1g,1.1g,,,21.1g,,0.5g,0.1g,532mg,3.56mg,19.8mg,,,,,,,,,,,,5.88mg,264.04µg,,3.84µg,3.3mg,0.46mg,0.62mg,0.66mg,42µg,0.33µg,0.05µg,1.99mg,3.25mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 250ml,Pokka Packet Drink - Carrot Juice,Per Serving (250g),103kcal,,0g,0g,,,25.8g,24.5g,,12.5mg,,,32.5mg,,,,,,,,,,,,,,,,6.3mg,,,,,,,,,3980mcg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 250ml,Pokka Premium Packet Drink - Milk Tea (Original),Per Serving (250ml),105kcal,0.0g,1.5g,1.8g,1.3g,,20.8g,,,53mg,,,,,,,,,,,,19.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 250ml,Yeo's Packet Drink - Soy Bean Milk,Per Serving (100ml),50kcal,0g,2g,1.2g,0g,,7.9g,7.7g,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 x 320ml,A&W Can Drink - Sarsaparilla Root Beer,Per Serving (100ml),50kcal,,0g,,,,12.4g,12.4g,,7mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.25kg,Milo Chocolate Malt Drink Powder with Milk - Australian Recipe,Per Serving (25g),105kcal / 440kJ,,3.25g,,,,17.57g,11.6g,1g,27mg,114.75mg,7mg,,0.35mg,,,,,,,,,,,,131.25mcg,0.46mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5L,A&W Bottle Drink - Sarsaparilla Root Beer,Per Serving (100ml),50kcal,,0g,0g,,,12.4g,12.4g,,7mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5L,Pokka Bottle Drink - Japanese Roasted Tea Houjicha,Per Serving,,,,,,,,,,20mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 300ml,Jia Jia Herbal Tea Can Drink - Less Sugar,Per Serving (300ml),68kcal,0g,0.3g,0g,0g,0mg,16.8g,16.2g,0g,25.2mg,5.7mg,,0.3mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5L,F&N Flavoured Bottle Drink - Cool Ice Cream Soda ,Per Serving (250ml),185kJ,,0g,0g,0g,,11g,0g,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 250ml,Pokka Packet Drink - Natsbee Honey Yuzu,Per Serving (250ml),90kcal,,0.0g,0.0g,0.0g,,22.3g,,,33mg,,,7.5mg,,,,,,,,,20.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 x 250ml (CTN),Vitasoy Soya Bean Packet Drink,Per Serving (250ml),110kcal,0g,3g,2.8g,0.5g,0mg,18.3g,17.5g,0.8g,43mg,150mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5L,Pokka Premium Bottle Drink - Straight Red Tea,Per Serving (250ml),58kcal,0g,0g,0g,0g,0mg,14.5g,14.5g,0g,15mg,,,,,,,,,,,10mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 320ml (CTN),Coca-Cola Can Drink - Vanilla,Per Serving (100ml),19kcal,,0g,0g,,,4.6g,4.6g,,2mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 320ml (CTN),Coca-Cola Can Drink - Vanilla,Per Serving (100ml),19kcal,,0g,0g,,,4.6g,4.6g,,2mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5L,Coca-Cola Bottle Drink - Zero Sugar,Per Serving (100ml),0kcal,,0g,0g,,,0g,0g,,8mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 x 325ml (CTN),F&N Can Drink - Soda Water (Slim),Per Serving (325ml),0kcal,,0g,0g,,,0g,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5L,Fanta Bottle Drink - Orange,Per Serving (320ml),61kcal,,0g,,,,14.7g,,,10mg,,,,,,,,,,,,,,14.7g,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5L,Fanta Bottle Drink - Grape,Per Serving (320ml),61kcal,,0g,,,,14.7g,,,13mg,,,,,,,,,,,,,,14.7g,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 250ml,Pokka Packet Drink - Peach Tea,Per Serving (250ml),90kcal,,0.0g,0.0g,0.0g,,22.5g,,,13mg,,,,,,,,,,,10mg,,,22.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 x 250ml (CTN),Marigold Packet Drink - Jasmine Green Tea,Per Serving (250g),50kcal,0g,0g,0g,0g,0g,12.5g,,0g,15mg,,,,,,,,,,,,,,12.3g,,,,,,,,,,,,,,,,,75mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 250ml,Yeo's Justea Packet Drink - White Grape Green Tea,Per Serving (250ml),130kcal,,0g,0g,,,32.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 250ml,Marigold Packet Fruit Drink - Mango,Per Serving (250ml),112kcal,,0g,0g,,,28g,23g,,,,,30mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1L,Life Oolong Tea Bottle Drink - No Sugar,Per Serving (250ml),0kcal,0g,0g,0g,0g,0mg,0g,0g,0g,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 x 250ml (CTN),Pokka Packet Drink - Ice Peach Tea,Per Serving (250ml),90kcal,,0.0g,0.0g,0.0g,,22.5g,,,13mg,,,,,,,,,,,10mg,,,22.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 x 18g,Gold Kili Instant Red Date Tea Drink - Longans Honey,Per Serving (18g),,0g,0.1g,0g,0g,0mg,17.6g,17.6g,0g,0.7mg,0.1%,,,,10.8mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,71kcal,0kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5L,Pokka Bottle Drink - Kiyo Kyoho Grape,Per Serving (100ml),43kcal,,0.0g,0.0g,0.0g,,10.8g,,,,,,3mg,,,,,,,,,10.7g,,,,63mcg,,,0.85mg,,,,,,,,,,,,,,,,1.35mg,0.21mcg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.48L,Yeo's Bottle Drink - Winter Melon Tea,Per Serving (500ml),140kcal,,0g,0g,,0mg,35g,,0g,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5L,Yeo's Bottle Drink - Chrysanthemum Tea,Per Serving (500ml),140kcal,,0g,0g,,0mg,35g,,0g,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 2L (CTN),Pocari Sweat Isotonic Bottle Drink,Per Serving (250ml),60kcal,0.0g,0.0g,0.0g,0.0g,0mg,14.8g,,0.0g,107mg,,,,,,,,,,,,14.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 300ml,Jia Jia Herbal Tea Can Drink - Heritage,Per Serving (250ml),70kcal,0g,0g,0g,0g,0mg,17.5g,17.5g,0g,< 5mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1L,Yeo's Packet Drink - Soy Bean Milk,Per Serving (100ml),50kcal,,2g,1.1g,,,8.1g,,,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.25kg,Milo Instant Chocolate Malt Drink Powder - Regular,Per Serving (20g),350kJ,,2.4g,2g,1.3g,,12.9g,9.3g,1.5g,18mg,160mg,6mg,19mg,0.3mg,,,,,,,,,,,,110mcg,0.5mg,,,,,,,,,,,,,,,,,,,,36mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500ml,Milo Chocolate Malt Milk Bottle Drink - Iced Energy,Per Serving,145kcal,0g,3.8g,3.8g,2g,3mg,22.5g,,2.5g,75mg,175mg,,,0.8mg,,,,,,,,16.4g,,,,,,2.8mcg,,,,0.8mg,,,,,,,,,,10.5g,,,7.5mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5L,F&N Flavoured Bottle Drink - Cheeky Cherryade,Per Serving (250ml),185kJ,,0g,0g,0g,,10.9g,0g,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5L,Fuze Tea Flavoured Tea Bottle Drink - Passionfruit,Per Serving (100ml),43kcal,,0g,0g,,,10.7g,10.7g,,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 250ml,Pokka Packet Drink - Ice Blueberry Tea (Less Sugar),Per Serving (100ml),24kcal,0g,0g,0g,0g,0mg,6g,6g,0g,5mg,,,,,,,,,,,4mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1L,Marigold Packet Drink - Soya Bean (Less Sweet),Per Serving (250ml),143kcal,,3.8g,4g,,,23g,20g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 250ml,Marigold Packet Drink - Lychee (Less Sweet),Per Serving (250ml),102kcal,,0g,0g,,,25.5g,22.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 250ml,Marigold Packet Drink - Ice Lemon Tea (Less Sweet),Per Serving (100ml),65kcal,,1.8g,1.3g,,,11.5g,9.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
