drink volume,drink name,attributes,quantity,volume,Serving Size_Cleaned,Added_Sugar_combined (g),protein_total (g),Combined Calories from Fat (kcal),Calories (kcal),Total Calories (kcal),Fibre (g),Carbohydrates (g),cholesterol (mg),Sodium Content (mg),trans_fat_combined (g),saturated_fat_combined (g),monounsaturated_fat_combined (g),polyunsaturated_fat_combined (g),Combined_Sugar (g),Combined_Fat (g),nutrigrade
24 x 200ml (ctn),milo chocolate malt milk uht packet drink,per serving,24 , 200ml (ctn),,0.0,1.7,0.0,0.015299999999999998,0.0,0.03,8.0,9500.0,60.0,0.001,0.0,0.0,0.0,0.5,0.9,B
12 x 320ml (ctn),coca-cola can drink - zero sugar,per serving (100ml),12 , 320ml (ctn),100ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,A
6 x 180ml,coca-cola mini can drink - zero sugar,per serving (180ml),6 , 180ml,180ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,A
24 x 325ml (ctn),100 plus isotonic can drink - original,per serving (100ml),24 , 325ml (ctn),100ml,0.0,0.0,0.0,27.0,0.0,0.0,6.8,0.0,48.0,0.0,0.0,0.0,0.0,6.8,0.0,C
24 x 200ml (ctn),ribena blackcurrant fruit packet drink - regular ,per serving (100g),24 , 200ml (ctn),100g,0.0,0.0,0.0,43.0,0.0,0.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,D
6 x 250ml,pokka packet drink - ice lemon tea,per serving (250ml),6 , 250ml,250ml,0.0,0.0,0.0,100.0,0.0,0.0,25.0,0.0,13.000000000000002,0.0,0.0,0.0,0.0,25.0,0.0,D
1.5l,pokka bottle drink - peach tea,per serving (250ml),1,1.5l,250ml,0.0,0.0,0.0,88.0,0.0,0.0,22.0,0.0,8.0,0.0,0.0,0.0,0.0,22.0,0.0,D
24 x 250ml (ctn),pokka packet drink - oolong tea (no sugar added),per serving (250ml),24 , 250ml (ctn),250ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,A
18 x 27g,milo 3 in 1 instant chocolate malt drink,per serving (27g),18 , 27g,27g,0.0,2.2,0.0,96.0,0.0,1.0,16.4,2.0,76.0,0.0,1.0,0.0,0.0,12.2,2.0,D
1.5l,pokka bottle drink - oolong tea (no sugar added),per serving (250ml),1,1.5l,250ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,A
24 x 200ml (ctn),ribena blackcurrant fruit drink packet - light,per serving (200ml),24 , 200ml (ctn),200ml,0.0,0.0,0.0,38.0,0.0,0.0,9.4,0.0,20.0,0.0,0.0,0.0,0.0,8.8,0.0,C
4 x 125g,milo chocolate malt uht packet drink - less sugar,per serving,4 , 125g,,0.0,4.6,0.0,108.0,0.0,0.0,16.0,4.0,90.0,0.0,1.6,0.0,0.0,11.8,2.8,D
450g,milo chocolate malt drink powder with milk - australian recipe,per serving (25g),1,450g,25g,0.0,3.25,0.0,105.0,0.0,1.0,17.57,0.0,27.0,0.0,0.0,0.0,0.0,11.6,0.0,D
6 x 250ml,pokka packet drink - chrysanthemum with white tea,per serving (250ml),6 , 250ml,250ml,0.0,0.0,0.0,55.0,0.0,0.0,14.0,0.0,15.0,0.0,0.0,0.0,0.0,14.0,0.0,D
10 x 28g,horlicks 3 in 1 instant malted drink - original,per serving (28g),10 , 28g,28g,0.0,3.1,0.0,107.0,0.0,0.5,21.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.1,B
6 x 250ml,pokka packet drink - carrot juice,per serving (250g),6 , 250ml,250g,0.0,0.0,0.0,103.0,0.0,0.0,25.8,0.0,12.5,0.0,0.0,0.0,0.0,24.5,0.0,D
6 x 250ml,pokka premium packet drink - milk tea (original),per serving (250ml),6 , 250ml,250ml,0.0,1.5,0.0,105.0,0.0,0.0,20.8,0.0,53.0,0.0,1.3,0.0,0.0,19.0,1.8,D
6 x 250ml,yeo's packet drink - soy bean milk,per serving (100ml),6 , 250ml,100ml,0.0,2.0,0.0,50.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,7.7,1.2,C
4 x 320ml,a&w can drink - sarsaparilla root beer,per serving (100ml),4 , 320ml,100ml,0.0,0.0,0.0,50.0,0.0,0.0,12.4,0.0,7.0,0.0,0.0,0.0,0.0,12.4,0.0,D
1.5l,a&w bottle drink - sarsaparilla root beer,per serving (100ml),1,1.5l,100ml,0.0,0.0,0.0,50.0,0.0,0.0,12.4,0.0,7.0,0.0,0.0,0.0,0.0,12.4,0.0,D
1.5l,pokka bottle drink - japanese roasted tea houjicha,per serving,1,1.5l,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,A
6 x 300ml,jia jia herbal tea can drink - less sugar,per serving (300ml),6 , 300ml,300ml,0.0,0.3,0.0,68.0,0.0,0.0,16.8,0.0,25.2,0.0,0.0,0.0,0.0,16.2,0.0,D
1.5l,f&n flavoured bottle drink - cool ice cream soda ,per serving (250ml),1,1.5l,250ml,0.0,0.0,0.0,44.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
6 x 250ml,pokka packet drink - natsbee honey yuzu,per serving (250ml),6 , 250ml,250ml,0.0,0.0,0.0,90.0,0.0,0.0,22.3,0.0,33.0,0.0,0.0,0.0,0.0,20.0,0.0,D
24 x 250ml (ctn),vitasoy soya bean packet drink,per serving (250ml),24 , 250ml (ctn),250ml,0.0,3.0,0.0,110.0,0.0,0.8,18.3,0.0,43.0,0.0,0.5,0.0,0.0,17.5,2.8,D
1.5l,pokka premium bottle drink - straight red tea,per serving (250ml),1,1.5l,250ml,0.0,0.0,0.0,58.0,0.0,0.0,14.5,0.0,15.0,0.0,0.0,0.0,0.0,14.5,0.0,D
12 x 320ml (ctn),coca-cola can drink - vanilla,per serving (100ml),12 , 320ml (ctn),100ml,0.0,0.0,0.0,19.0,0.0,0.0,4.6,0.0,2.0,0.0,0.0,0.0,0.0,4.6,0.0,B
1.5l,coca-cola bottle drink - zero sugar,per serving (100ml),1,1.5l,100ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,A
24 x 325ml (ctn),f&n can drink - soda water (slim),per serving (325ml),24 , 325ml (ctn),325ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
1.5l,fanta bottle drink - orange,per serving (320ml),1,1.5l,320ml,0.0,0.0,0.0,61.0,0.0,0.0,14.7,0.0,10.0,0.0,0.0,0.0,0.0,14.7,0.0,D
1.5l,fanta bottle drink - grape,per serving (320ml),1,1.5l,320ml,0.0,0.0,0.0,61.0,0.0,0.0,14.7,0.0,13.000000000000002,0.0,0.0,0.0,0.0,14.7,0.0,D
6 x 250ml,pokka packet drink - peach tea,per serving (250ml),6 , 250ml,250ml,0.0,0.0,0.0,90.0,0.0,0.0,22.5,0.0,13.000000000000002,0.0,0.0,0.0,0.0,22.5,0.0,D
24 x 250ml (ctn),marigold packet drink - jasmine green tea,per serving (250g),24 , 250ml (ctn),250g,0.0,0.0,0.0,50.0,0.0,0.0,12.5,0.0,15.0,0.0,0.0,0.0,0.0,12.3,0.0,D
6 x 250ml,yeo's justea packet drink - white grape green tea,per serving (250ml),6 , 250ml,250ml,0.0,0.0,0.0,130.0,0.0,0.0,32.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
6 x 250ml,marigold packet fruit drink - mango,per serving (250ml),6 , 250ml,250ml,0.0,0.0,0.0,112.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,D
1l,life oolong tea bottle drink - no sugar,per serving (250ml),1,1l,250ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
24 x 250ml (ctn),pokka packet drink - ice peach tea,per serving (250ml),24 , 250ml (ctn),250ml,0.0,0.0,0.0,90.0,0.0,0.0,22.5,0.0,13.000000000000002,0.0,0.0,0.0,0.0,22.5,0.0,D
20 x 18g,gold kili instant red date tea drink - longans honey,per serving (18g),20 , 18g,18g,0.0,0.1,0.0,71.0,0.0,0.0,17.6,0.0,0.7,0.0,0.0,0.0,0.0,17.6,0.0,D
1.5l,pokka bottle drink - kiyo kyoho grape,per serving (100ml),1,1.5l,100ml,0.0,0.0,0.0,43.0,0.0,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,D
1.48l,yeo's bottle drink - winter melon tea,per serving (500ml),1,1.48l,500ml,0.0,0.0,0.0,140.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
1.5l,yeo's bottle drink - chrysanthemum tea,per serving (500ml),1,1.5l,500ml,0.0,0.0,0.0,140.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
6 x 2l (ctn),pocari sweat isotonic bottle drink,per serving (250ml),6 , 2l (ctn),250ml,0.0,0.0,0.0,60.0,0.0,0.0,14.8,0.0,107.0,0.0,0.0,0.0,0.0,14.8,0.0,D
6 x 300ml,jia jia herbal tea can drink - heritage,per serving (250ml),6 , 300ml,250ml,0.0,0.0,0.0,70.0,0.0,0.0,17.5,0.0,5.0,0.0,0.0,0.0,0.0,17.5,0.0,D
1.25kg,milo instant chocolate malt drink powder - regular,per serving (20g),1,1.25kg,20g,0.0,2.4,0.0,83.0,0.0,1.5,12.9,0.0,18.000000000000004,0.0,1.3,0.0,0.0,9.3,2.0,C
500ml,milo chocolate malt milk bottle drink - iced energy,per serving,1,500ml,,10.5,3.8,0.0,145.0,0.0,2.5,22.5,3.0,75.0,0.0,2.0,0.0,0.0,16.4,3.8,D
1.5l,f&n flavoured bottle drink - cheeky cherryade,per serving (250ml),1,1.5l,250ml,0.0,0.0,0.0,44.0,0.0,0.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
1.5l,fuze tea flavoured tea bottle drink - passionfruit,per serving (100ml),1,1.5l,100ml,0.0,0.0,0.0,43.0,0.0,0.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,D
6 x 250ml,pokka packet drink - ice blueberry tea (less sugar),per serving (100ml),6 , 250ml,100ml,0.0,0.0,0.0,24.0,0.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,C
1l,marigold packet drink - soya bean (less sweet),per serving (250ml),1,1l,250ml,0.0,3.8,0.0,143.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,D
6 x 250ml,marigold packet drink - lychee (less sweet),per serving (250ml),6 , 250ml,250ml,0.0,0.0,0.0,102.0,0.0,0.0,25.5,0.0,0.0,0.0,0.0,0.0,0.0,22.8,0.0,D
6 x 250ml,marigold packet drink - ice lemon tea (less sweet),per serving (100ml),6 , 250ml,100ml,0.0,1.8,0.0,65.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,9.6,1.3,C
6 x 240ml,milo chocolate malt can drink - original,per serving (240ml),6 , 240ml,240ml,0.0,4.8,0.0,149.0,0.0,0.0,24.0,0.0,79.2,0.0,0.0,0.0,0.0,16.6,3.84,D
4 x 375ml,bundaberg bottle drink - root beer,per serving (375ml),4 , 375ml,375ml,0.0,0.0,0.0,189.0,0.0,0.0,46.5,0.0,45.0,0.0,1.0,0.0,0.0,46.5,1.0,D
1.5l,pokka natsbee bottle drink - honey yuzu,per serving (250ml),1,1.5l,250ml,0.0,0.0,0.0,90.0,0.0,0.0,22.3,0.0,33.0,0.0,0.0,0.0,0.0,20.0,0.0,D
1.5l,coca-cola bottle drink - vanilla,per serving (100ml),1,1.5l,100ml,0.0,0.0,0.0,19.0,0.0,0.0,4.6,0.0,2.0,0.0,0.0,0.0,0.0,4.6,0.0,B
1l,yeo's packet drink - black soy milk,per serving (100ml),1,1l,100ml,0.0,2.2,0.0,50.0,0.0,0.0,7.4,0.0,33.0,0.0,0.0,0.0,0.0,7.1,1.3,C
1.5l,pokka bottle drink - natsbee honey lemon ,per serving (100ml),1,1.5l,100ml,0.0,0.0,0.0,34.0,0.0,0.0,8.6,0.0,11.0,0.0,0.0,0.0,0.0,8.0,0.0,C
1.5l,f&n flavoured bottle drink - outrageous orange,per serving (250ml),1,1.5l,250ml,0.0,0.0,0.0,50.0,0.0,0.0,12.3,0.0,13.000000000000002,0.0,0.0,0.0,0.0,12.3,0.0,D
12 x 40g,lao qian instant drink - milk tea ,per serving (40g),12 , 40g,40g,0.0,1.0,0.0,193.2,0.0,0.0,29.6,0.0,98.0,0.1,6.2,0.0,0.0,20.0,8.0,D
16 x 12.5g,nescafe dolce gusto beverage capsules - cappuccino,per serving (240ml),16 , 12.5g,240ml,0.0,4.8,0.0,110.0,0.0,0.5,12.2,15.2,62.0,0.1,2.8,0.0,0.0,11.7,4.5,D
1.5l,f&n flavoured bottle drink - groovy grape,per serving (250ml),1,1.5l,250ml,0.0,0.0,0.0,44.0,0.0,0.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
16 x 10g,nescafe dolce gusto beverage capsules - grande intenso,per serving (10g),16 , 10g,10g,0.0,0.1,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.2,0.0,A
6 x 240ml,pokka coffee can drink - milk coffee (less sugar),per serving,6 , 240ml,,0.0,2.4,0.0,106.0,0.0,0.0,22.1,0.0,86.0,0.0,0.0,0.0,0.0,19.4,0.0,D
20 x 30g,ovaltine 3 in 1 instant malt drink sachets - chocolate,per serving (30g),20 , 30g,30g,0.0,1.2,0.0,121.0,0.0,0.7,24.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,C
12 x 300ml (ctn),pokka can drink - ice lemon tea ,per serving (300ml),12 , 300ml (ctn),300ml,0.0,0.0,0.0,120.0,0.0,0.0,30.3,0.0,15.0,0.0,0.0,0.0,0.0,29.4,0.0,D
3 x 250ml,uni-president packet drink - papaya milk,per serving (250g),3 , 250ml,250g,0.0,3.8,0.0,148.0,0.0,1.0,22.9,13.000000000000002,119.00000000000001,0.1,3.2,0.0,0.0,0.0,4.6,D
1l,allswell bottle drink - plum,per serving (250ml),1,1l,250ml,0.0,0.0,0.0,80.0,0.0,0.0,21.3,0.0,450.0,0.0,0.0,0.0,0.0,20.0,0.0,D
24 x 300ml (ctn),pokka can drink - oolong tea (no sugar added),per serving (300ml),24 , 300ml (ctn),300ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,A
4 x 375ml,bundaberg sparkling fruit bottle drink - blood orange,per serving (375ml),4 , 375ml,375ml,0.0,0.0,0.0,175.0,0.0,0.0,43.2,0.0,34.0,0.0,1.0,0.0,0.0,43.2,1.0,D
1l,allswell bottle drink - starfruit,per serving (250ml),1,1l,250ml,0.0,0.0,0.0,120.0,0.0,0.0,30.0,0.0,155.0,0.0,0.0,0.0,0.0,30.0,0.0,D
24 x 250ml (ctn),pokka packet drink - natsbee honey lemon,per serving (250ml),24 , 250ml (ctn),250ml,0.0,0.0,0.0,95.0,0.0,0.0,23.8,0.0,28.0,0.0,0.0,0.0,0.0,22.5,0.0,D
6 x 250ml,pokka packet drink - guava juice,per serving (250g),6 , 250ml,250g,0.0,0.0,0.0,120.0,0.0,0.0,30.0,0.0,15.0,0.0,0.0,0.0,0.0,30.0,0.0,D
820g,ovaltine instant malt drink powder - chocolate,per serving (30g),1,820g,30g,0.0,2.0,0.0,122.0,0.0,2.0,21.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0,3.0,D
1l,ceres 100% juice blend packet drink - mango,per serving (200ml),1,1l,200ml,0.0,0.0,0.0,97.0,0.0,0.0,24.0,0.0,5.0,0.0,0.0,0.0,0.0,24.0,0.0,D
1.5l,minute maid pulpy bottle juice drink - tropical,per serving (240ml),1,1.5l,240ml,0.0,0.0,0.0,108.0,0.0,0.0,26.6,0.0,22.0,0.0,0.0,0.0,0.0,23.3,0.0,D
16 x 10g,nescafe dolce gusto beverage capsules - cafe au lait intenso,per serving (100g),16 , 10g,100g,0.0,19.4,0.0,336.0,0.0,11.6,26.0,86.50000000000001,365.0,0.9,10.0,3.6,0.4,25.7,17.4,D
16 x 16g,nescafe dolce gusto beverage capsules - chococino,per serving (100g),16 , 16g,100g,0.0,14.42,0.0,441.0,0.0,4.62,55.62,59.66,159.6,0.61,9.59,3.68,0.55,53.93,15.99,D
16 x 12g,nescafe dolce gusto beverage capsules - latte macchiato,per serving (220ml),16 , 12g,220ml,0.0,4.5,0.0,98.0,0.0,0.5,9.6,17.0,59.2,0.0,3.0,0.0,0.0,8.3,4.5,D
1.5l,f&n seasons bottle drink - ice peach tea,per serving (100ml),1,1.5l,100ml,0.0,0.0,0.0,38.0,0.0,0.0,905.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,C
480ml,life bottle drink - rock sugar starfruit juice,per serving (240ml),1,480ml,240ml,0.0,0.0,0.0,113.0,0.0,0.0,28.3,0.0,302.0,0.0,0.0,0.0,0.0,23.0,0.0,D
750g,milo instant chocolate malt drink powder with milk - ice energy,per serving (26g),1,750g,26g,0.0,2.9,0.0,107.0,0.0,0.8,19.5,0.0,52.00000000000001,0.0,1.2,0.0,0.0,13.6,2.4,D
4 x 375ml,"bundaberg sparkling fruit bottle drink - lemon,lime&bitters",per serving (375ml),4 , 375ml,375ml,0.0,0.0,0.0,175.0,0.0,0.0,43.2,0.0,34.0,0.0,1.0,0.0,0.0,43.2,1.0,D
1l,pomefresh juice bottle drink - pomegranate,per serving (237ml),1,1l,237ml,0.0,0.0,0.0,143.0,0.0,0.0,36.0,0.0,14.0,0.0,0.0,0.0,0.0,31.0,0.0,D
24 x 250ml (ctn),pokka packet drink - carrot fruit juice ,per serving (250g),24 , 250ml (ctn),250g,0.0,0.0,0.0,103.0,0.0,0.0,25.8,0.0,12.5,0.0,0.0,0.0,0.0,24.5,0.0,D
24 x 250ml (ctn),pokka packet drink - kiyo kyoho grape,per serving (100ml),24 , 250ml (ctn),100ml,0.0,0.0,0.0,43.0,0.0,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,D
240ml,nescafe milk coffee can drink - mocha,per serving (240),1,240ml,240,0.0,1.4,0.0,41.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,B
4 x 375ml,bundaberg bottle drink - ginger beer light,per serving (375ml),4 , 375ml,375ml,0.0,1.0,0.0,31.0,0.0,0.0,6.4,0.0,42.0,0.0,0.0,0.0,0.0,4.5,1.0,B
24 x 250ml (ctn),pokka packet drink - mixed berries & carrot juice,per serving (250ml),24 , 250ml (ctn),250ml,0.0,0.0,0.0,108.0,0.0,0.0,26.8,0.0,13.000000000000002,0.0,0.0,0.0,0.0,26.8,0.0,D
4 x 320ml,pepsi can drink - no calorie,per serving (100ml),4 , 320ml,100ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,A
20 x 18g,gold kili instant ginger drink - lemon ,per serving (18g),20 , 18g,18g,0.0,0.1,0.0,73.0,0.0,17.4,0.0074,0.0,0.0,0.0,0.2,0.0,0.0,16.1,0.3,D
840ml,sunquick concentrate drink - tropical,per serving (100ml),1,840ml,100ml,0.0,0.0,0.0,137.0,0.0,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,C
4 x 200ml,fever-tree bottle - tonic water (mediterranean),per serving,4 , 200ml,,0.0,0.0,0.0,36.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0.0,C
4 x 300ml,fuze tea flavoured green tea can drink - jasmine,per serving (100ml),4 , 300ml,100ml,0.0,0.0,0.0,5.0,0.0,0.0,5.5,0.0,5.0,0.0,0.0,0.0,0.0,5.5,0.0,C
320ml,sagiko juice can drink - calamansi,per serving (320ml),1,320ml,320ml,0.0,0.0,0.0,140.0,0.0,0.0,35.0,0.0,5.0,0.0,0.0,0.0,0.0,34.0,0.0,D
12 x 1.5l (ctn),100 plus isotonic bottle drink - active,per serving (250ml),12 , 1.5l (ctn),250ml,0.0,0.0,0.0,63.0,0.0,0.0,15.5,0.0,113.0,0.0,0.0,0.0,0.0,15.5,0.0,D
473ml,snapple bottle drink - kiwi strawberry,per serving (1 bottle),1,473ml,1 bottle,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,15.0,0.0,0.0,0.0,0.0,45.0,0.0,D
473ml,snapple bottle drink - grapeade,per serving (1 bottle),1,473ml,1 bottle,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,10.0,0.0,0.0,0.0,0.0,46.0,0.0,D
946ml,natur-a organic fortified soy beverage - unsweetened,per serving (250ml),1,946ml,250ml,0.0,8.0,0.0,80.0,0.0,1.0,4.0,0.0,40.0,0.0,0.5,0.7,2.0,2.0,3.5,D
24 x 325ml (ctn),f&n can drink - cheeky cherryade,per serving (325ml),24 , 325ml (ctn),325ml,0.0,0.0,0.0,65.0,0.0,0.0,15.9,0.0,26.000000000000004,0.0,0.0,0.0,0.0,15.9,0.0,D
350g,bonchoco instant hot chocolate drink,per 100g,1,350g,,0.0,8.7,0.0,389.0,0.0,4.7,74.8,7.0,408.00000000000006,0.0,5.1,0.0,0.0,69.3,6.1,D
