drink volume,drink name,attributes,quantity,volume,Serving Size_Cleaned,Added_Sugar_combined (g),protein_total (g),Combined Calories from Fat (kcal),Calories (kcal),Total Calories (kcal),Fibre (g),Carbohydrates (g),cholesterol (mg),Sodium Content (mg),trans_fat_combined (g),saturated_fat_combined (g),monounsaturated_fat_combined (g),polyunsaturated_fat_combined (g),Combined_Sugar (g),Combined_Fat (g),nutrigrade
6 x 140ml,you-c1000 vitamin bottle drink - apple,per serving (140ml),6 , 140ml,140ml,0.0,0.0,0.0,60.0,0.0,0.0,14.0,0.0,45.0,0.0,0.0,0.0,0.0,14.0,0.0,D
24 x 250ml (ctn),red bull energy can drink - classic,per serving (250ml),24 , 250ml (ctn),250ml,0.0,1.0,0.0,166.8,0.0,0.0,46.5,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,D
946ml,natur-a organic fortified soy beverage - chocolate,per serving (250ml),1,946ml,250ml,0.0,7.0,0.0,160.0,0.0,1.0,20.0,0.0,140.0,0.0,1.0,2.0,2.5,19.0,6.0,D
4 x 250ml,alchemy & tonic grapefruit & thyme tonic water,per serving (),4 , 250ml,,0.0,0.0,0.0,33.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,C
4 x 250ml,alchemy & tonic hibiscus pink lemonade,per serving (),4 , 250ml,100ml,0.0,0.0,0.0,32.0,0.0,0.0,7.5,0.0,4.99,0.0,0.0,0.0,0.0,7.5,0.0,C
946ml,natur-a organic fortified soy beverage - vanilla,per serving (250ml),1,946ml,250ml,0.0,7.0,0.0,130.0,0.0,1.0,13.0,0.0,80.0,0.0,0.5,2.0,2.5,11.0,5.0,D
1 l,rude health ultimate almond drink,per serving (null),1,1 l,null,0.0,1.5,0.0,37.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,D
12 x 1.5l (ctn),fanta bottle drink - strawberry,per serving (320ml),12 , 1.5l (ctn),320ml,0.0,0.0,0.0,61.0,0.0,0.0,14.7,0.0,10.0,0.0,0.0,0.0,0.0,14.7,0.0,D
1 l,del monte four seasons juice drink tetra,per serving (),1,1 l,,0.0,0.0,0.0,70.0,0.0,0.0,19.0,0.0,5.0,0.0,0.0,0.0,0.0,18.0,0.0,D
1 l,rude health organic brown rice drink,per serving (null),1,1 l,null,0.0,0.1,0.0,61.0,0.0,0.2,11.9,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.4,C
15 x 25g,maxtea instant drink - tarikk with ginger,per serving (25g),15 , 25g,25g,0.0,0.9,0.0,105.0,0.0,1.0,20.7,0.0,15.0,0.0,2.1,0.0,0.0,13.5,2.4,D
4 x 200ml,schweppes carbonated bottle drink - indian tonic water,per serving,4 , 200ml,,0.0,0.0,0.0,42.0,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
24 x 500ml (ctn),pokka bottle drink - ice lemon tea,per serving (250ml),24 , 500ml (ctn),250ml,0.0,0.0,0.0,100.0,0.0,0.0,25.0,0.0,13.000000000000002,0.0,0.0,0.0,0.0,24.3,0.0,D
24 x 500ml (ctn),pokka premium bottle drink - milk tea (original),per serving (250ml),24 , 500ml (ctn),250ml,0.0,1.5,0.0,105.0,0.0,0.0,20.8,0.0,53.0,0.0,1.3,0.0,0.0,19.0,1.8,D
180g,weider multi vitamin jelly packet drink - passion fruit,per serving (180g),1,180g,180g,0.0,0.0,0.0,70.0,0.0,0.0,17.6,0.0,70.0,0.0,0.0,0.0,0.0,15.5,0.0,D
6 x 240ml,milo activ-go original rtd - can drink 6pcs,per serving (100ml),6 , 240ml,100ml,0.0,2.0,0.0,54.0,0.0,0.5,8.0,0.0,37.0,0.0,0.0,0.0,0.0,5.0,1.5,C
24 x 500ml (ctn),pokka bottle drink - ice peach tea,per serving (250ml),24 , 500ml (ctn),250ml,0.0,0.0,0.0,100.0,0.0,0.0,25.0,0.0,13.000000000000002,0.0,0.0,0.0,0.0,24.3,0.0,D
300 ml,karma drinks organic sparkling blackcurrant,per serving (0.1g),1,300 ml,0.1g,0.0,0.1,0.0,28.0,0.0,0.0,6.8,0.0,0.6,0.0,0.0,0.0,0.0,6.1,0.0,C
1000 ml,kirei kochi ice sweetened yuzu drink concentrate,per serving (100ml),1,1000 ml,100ml,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,A
12 x 1.5l (ctn),f&n flavoured bottle drink - sarsi,per serving (250ml),12 , 1.5l (ctn),250ml,0.0,0.0,0.0,48.0,0.0,0.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
4 x 250ml,alchemy & tonic indian tonic water,per serving (),4 , 250ml,,0.0,0.0,0.0,32.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,C
1 l,rude health barista coconut drink,per serving (100),1,1 l,100,0.0,0.8,0.0,53.0,0.0,0.9,7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2.3,C
48 x 250ml ctn),vitasoy soya bean packet drink - chocolate,per serving (250ml),48 , 250ml ctn),250ml,0.0,3.0,0.0,0.0,0.0,0.0,29.0,0.0,130.0,0.0,1.0,0.0,0.0,22.0,3.5,D
0,drink almighty sparkling water - peach and ginger 330ml x 6,per serving (),1,0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,A
1 l,rude health organic soya drink,per serving (null),1,1 l,null,0.0,3.6,0.0,39.0,0.0,0.3,1.6,0.0,50.0,0.0,0.0,0.0,0.0,0.0,2.0,C
15 x 500ml (ctn),wong lo kat bottle drink - herbal tea,per serving (100ml),15 , 500ml (ctn),100ml,0.0,0.0,0.0,33.0,0.0,0.0,8.3,0.0,0.0,0.0,1.0,0.0,0.0,8.3,1.0,C
1 l,marks & spencer plant kitchen unsweetened almond drink,per serving (),1,1 l,,0.0,0.5,0.0,14.0,0.0,0.5,0.8,0.0,100.0,0.0,0.21,0.0,0.0,0.2,0.9,B
1 l,marks & spencer plant kitchen coconut drink,per serving (0.2g),1,1 l,0.2g,0.0,0.2,0.0,28.0,0.0,1.0,2.2,0.0,80.0,0.0,1.7,0.0,0.0,2.0,1.9,C
1 l,rude health organic oat drink,per serving (null),1,1 l,null,0.0,0.8,0.0,43.0,0.0,0.3,6.1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.6,C
4 x 125ml,nutricia souvenaid bottle drink - vanilla,per serving (125g),4 , 125ml,125g,0.0,3.1,0.0,125.0,0.0,0.7,15.4,400.0,125.0,0.0,0.0,0.0,0.0,0.0,5.4,D
2 x 500ml,hung fook tong cha dian xia scf and honey drink[bundle of 2],per serving (100),2 , 500ml,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,C
1 l,marks & spencer apple & rhubarb juice drink,per serving (),1,1 l,,0.0,0.2,0.0,40.0,0.0,0.5,9.2,0.0,10.0,0.0,0.1,0.0,0.0,9.2,0.1,C
4 x 150ml,east imperial grapefruit soda - pack of 4 bottles,per serving (),4 , 150ml,,12.0,0.0,0.0,59.0,0.0,1.0,12.0,0.0,1.75,0.0,0.0,0.0,0.0,12.0,0.0,D
250 ml,rude health mini almond drink,per serving (100),1,250 ml,100,0.0,0.2,0.0,56.0,0.0,0.2,10.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.5,C
1440 ml,bifido just drink-can-latte 6 x 240ml,per serving (100ml),1,1440 ml,100ml,4.7,1.9,0.0,64.0,0.0,0.0,9.6,3.0,76.0,0.0,1.4,0.0,0.0,7.5,2.0,C
6 x 1l,rude health barista soya drink,per serving (100),6 , 1l,100,0.0,3.6,0.0,51.0,0.0,1.0,5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.7,C
250 ml,sansu yuzu & ginger soda drink,per serving (),1,250 ml,,0.0,0.0,0.0,59.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
1 l,rude health organic coconut drink,per serving (null),1,1 l,null,0.0,0.1,0.0,53.0,0.0,0.7,10.4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.2,B
12 x 1.5l (ctn),f&n flavoured bottle drink - ginger ade,per serving (250ml),12 , 1.5l (ctn),250ml,0.0,0.0,0.0,110.0,0.0,0.0,27.8,0.0,0.0,0.0,0.0,0.0,0.0,27.8,0.0,D
0,coffeehock chocolate malt drink 2kg,per serving (30),1,0,30,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,2.6,C
250 ml,muno organic sea buckthorn + ginger juice drink,per serving (100),1,250 ml,100,0.0,1.1,0.0,39.0,0.0,0.5,7.6,0.0,20.0,0.0,0.0,0.0,0.0,6.4,0.2,C
5760 ml,bifido just drink-can-mandheling  24 x 240ml,per serving (100ml),1,5760 ml,100ml,4.7,1.7,0.0,58.0,0.0,0.0,8.4,3.2,67.0,0.0,1.3,0.0,0.0,6.6,1.9,C
300 ml,karma drinks organic sparkling red grapefruit,per serving (0g),1,300 ml,0g,0.0,0.0,0.0,29.0,0.0,0.0,7.3,0.0,0.9000000000000001,0.0,0.0,0.0,0.0,6.9,0.0,C
250 ml,13 honey apple lemon drink,per serving (),1,250 ml,,0.0,0.0,0.0,108.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
250 ml,sansu yuzu & cucumber soda drink,per serving (),1,250 ml,,0.0,0.0,0.0,59.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
6 x 1l,rude health barista almond drink,per serving (),6 , 1l,,0.0,1.8,0.0,58.0,0.0,0.6,8.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2.1,C
6 x 1l,rude health barista oat drink,per serving (),6 , 1l,,0.0,0.7,0.0,57.0,0.0,0.9,7.8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2.4,C
12 x 1.5l (ctn),life distilled drinking bottle water,per 100ml,12 , 1.5l (ctn),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,A
12 x 1.5l (ctn),f&n ice mountain pure drinking bottle water,per serving (100ml),12 , 1.5l (ctn),100ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,A
12 x 1l (ctn),marigold uht packet milk - full cream,per serving (200ml),12 , 1l (ctn),200ml,0.0,5.8,0.0,120.0,0.0,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,D
12 x 500ml (ctn),ufc refresh 100% natural coconut water,per serving (250ml),12 , 500ml (ctn),250ml,0.0,0.0,0.0,61.0,0.0,0.3,15.7,0.0,48.0,0.0,0.0,0.0,0.0,8.6,0.0,C
24 x 330ml (ctn),evian natural mineral bottle water,per serving (100ml),24 , 330ml (ctn),100ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,A
12 x 1l (ctn),dutch lady uht milk - full cream (plain),per serving (100ml),12 , 1l (ctn),100ml,0.0,2.7,0.0,64.0,0.0,0.0,5.9,0.0,40.0,0.0,2.5,0.0,0.0,5.0,3.3,D
12 x 500ml (ctn),glaceau xxx vitamin bottle water - triple berry,per serving (500ml),12 , 500ml (ctn),500ml,0.0,0.0,0.0,90.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,D
24 x 600ml (ctn),aqua mountain spring bottle water,per serving (600ml - 1 bottle),24 , 600ml (ctn),600ml - 1 bottle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
6 x 500ml (ctn),fiji natural artesian bottle water,per serving (100ml),6 , 500ml (ctn),100ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,B
24 x 330ml (ctn),perrier sparkling mineral bottle water - natural,per serving (100ml),24 , 330ml (ctn),100ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,A
12 x 1.5l (ctn),authentic tea house da hong pao no sugar oolong tea,per serving (240ml),12 , 1.5l (ctn),240ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,A
12 x 500ml,glaceau essential vitamin bottle water - orange,per serving (500ml),12 , 500ml,500ml,0.0,0.0,0.0,90.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,0.0,D
6 x 1l (ctn),fiji natural artesian water,per serving (100ml),6 , 1l (ctn),100ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,B
6 x 500ml,pocari sweat ion supply bottle 500ml [bundle of 6],per serving (100),6 , 500ml,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,C
2 x 500ml,schweppes cream soda bottle [bundle of 2],per serving (100ml),2 , 500ml,100ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,B
2 x 500ml,hung fook tong red bean &job's tears seeds [bundle of 2],per serving (),2 , 500ml,100ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,B
12 x 1l (ctn),cocomax 100% coconut bottle water,per serving (250ml),12 , 1l (ctn),250ml,0.0,0.5,0.0,50.0,0.0,0.0,12.0,0.0,20.0,0.0,0.0,0.0,0.0,10.8,0.0,D
500 g,health paradise organic black soya milk powder,per serving (),1,500 g,30g,0.0,8.0,0.0,130.0,0.0,0.0,15.0,0.0,40.0,0.0,0.66,0.0,0.0,0.0,4.5,D
6 x 1l,minor figures barista oat milk,per serving (),6 , 1l,,0.0,0.4,0.0,97.0,0.0,0.0,19.0,0.0,200.0,0.0,0.4,0.0,0.0,9.0,4.2,D
330 ml,shozu yuzu & ume sparkling prebiotics,per serving (0g),1,330 ml,0g,0.0,0.0,0.0,34.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
500 g,health paradise instant soya milk powder (nsa),per serving (),1,500 g,30g,0.0,6.0,0.0,130.0,0.0,0.0,16.0,0.0,40.0,0.0,0.66,0.0,0.0,0.0,4.5,D
750 ml,marks & spencer sparkling sicilian lemon & british mint press,per serving (),1,750 ml,,0.0,0.1,0.0,21.0,0.0,0.5,5.1,0.0,10.0,0.0,0.1,0.0,0.0,4.3,0.1,B
100 per pack,lipton yellow label tea bags - international blend,per serving (100ml),1,100 per pack,100ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
12 x 300ml,authentic tea house ayataka no sugar japanese green tea,per serving (100ml),12 , 300ml,100ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,A
6 x 600g,killiney premium milk tea family bundle,per serving (null),6 , 600g,null,0.0,0.6,0.0,170.0,0.0,0.0,30.7,0.0,85.0,0.0,4.9,0.0,0.0,19.4,0.0,D
12 x 300ml (ctn),pokka can drink - jasmine green tea ,per serving (300ml),12 , 300ml (ctn),300ml,0.0,0.0,0.0,72.0,0.0,0.0,18.0,0.0,18.000000000000004,0.0,0.0,0.0,0.0,18.0,0.0,D
1.5l,fuze tea flavoured green tea bottle drink - jasmine,per serving (100ml),1,1.5l,100ml,0.0,0.0,0.0,22.0,0.0,0.0,5.5,0.0,5.0,0.0,0.0,0.0,0.0,5.5,0.0,C
1l,life japanese green tea bottle drink - no sugar,per serving (250ml),1,1l,250ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,A
1.5l,pokka bottle drink - blueberry tea ,per serving (250ml),1,1.5l,250ml,0.0,0.0,0.0,78.0,0.0,0.0,19.5,0.0,13.000000000000002,0.0,0.0,0.0,0.0,19.5,0.0,D
6 x 250ml,vita hk style milk tea packet drink - original,per serving,6 , 250ml,,0.0,1.4,0.0,49.0,0.0,0.0,7.4,0.0,60.0,0.0,1.2,0.0,0.0,6.4,1.5,C
30 x 20g,boh 3 in 1 instant tea mix - original,per serving (170ml),30 , 20g,170ml,0.0,0.3,0.0,89.0,0.0,0.0,17.1,0.0,32.0,0.0,0.0,0.0,0.0,0.0,2.6,C
1.5l,pokka bottle drink - chrysanthemum with white tea,per serving (250ml),1,1.5l,250ml,0.0,0.0,0.0,55.0,0.0,0.0,14.0,0.0,15.0,0.0,0.0,0.0,0.0,14.0,0.0,D
50 x 2g,osk japanese green tea bags - mixed with roasted rice,per serving (100g),50 , 2g,100g,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,A
12 per pack,boh teh tarik instant milk tea beverage - original,per serving (180ml),1,12 per pack,180ml,0.0,1.1,0.0,128.0,0.0,0.0,19.3,0.0,46.1,0.0,0.0,0.0,0.0,10.4,5.2,D
1l,ito en green tea bottle - oji ocha (unsweetened),per serving (250ml),1,1l,250ml,0.0,0.3,0.0,4.0,0.0,0.0,0.8,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,A
12 x 20g,lipton 3 in 1 instant milk tea latte - teh halia,per serving (21g),12 , 20g,21g,0.0,0.7,0.0,100.0,0.0,0.6,15.6,0.0,50.0,0.0,3.6,0.0,0.0,10.4,3.6,D
50g (25 per pack),twinings teabags - earl grey,per serving (200ml),1,50g (25 per pack),200ml,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
10 x 5g,gingen instant ginger powder - original (no sugar),per serving (5g),10 , 5g,5g,0.0,0.0,0.0,20.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
20 x 18g,super instant tea infusions - chrysanthemum with honey,per serving (18g),20 , 18g,18g,0.0,0.1,0.0,71.0,0.0,0.0,17.6,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.1,A
50 x 1.5g,lipton green tea bags - lively fresh,per serving (1.5g),50 , 1.5g,1.5g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
15 x 35g,gold kili premium instant white milk tea - double shot,per serving (35g),15 , 35g,35g,0.0,0.0,0.0,160.0,0.0,0.0,25.0,0.0,60.0,0.0,6.0,0.0,0.0,15.0,7.0,D
10 x 18g,gingen instant ginger powder - strong,per serving (18g),10 , 18g,18g,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,D
20 x 18g,super instant tea infusions - red date & longan,per serving (18g),20 , 18g,18g,0.0,0.1,0.0,71.0,0.0,0.0,17.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,A
480ml,life bottle drink - herbal tea,per serving (240ml),1,480ml,240ml,0.0,0.0,0.0,48.0,0.0,0.0,12.2,0.0,7.0,0.0,0.0,0.0,0.0,9.8,0.0,C
80 g,mamami matcha powder from japan,per serving (1g),1,80 g,1g,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
480ml,life bottle drink - red date tea,per serving (240ml),1,480ml,240ml,0.0,0.2,0.0,77.0,0.0,0.0,18.7,0.0,12.0,0.0,0.0,0.0,0.0,16.6,0.0,D
20 x 18g,gold kili instant ginger drink - brown sugar ,per serving (18g),20 , 18g,18g,0.0,0.2,0.0,70.0,0.0,0.0,17.4,0.0,0.3,0.0,0.0,0.0,0.0,17.4,0.0,D
50 x 2g,fairprice japanese green tea -yabukita blend with roasted rice,per serving (2g),50 , 2g,2g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
1l,marigold packet drink - chrysanthemum tea (less sweet),per serving (250ml),1,1l,250ml,0.0,0.0,0.0,87.0,0.0,0.0,21.8,0.0,0.0,0.0,0.0,0.0,0.0,20.3,0.0,D
4 x 250ml,lo bros organic raspberry & lemon kombucha,per serving (1g),4 , 250ml,1g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,B
4 x 250ml,lo bros organic passionfruit kombucha,per serving (1g),4 , 250ml,1g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,B
40g (20 per pack),sea dyke tea bags - oolong tea ,per serving (2g),1,40g (20 per pack),2g,0.0,0.542,0.0,5.58,0.0,0.0,0.808,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.024,A
250g,daribell pure and natural instant ginger tea powder,per serving (15g),1,250g,15g,0.0,0.0,0.0,61.0,0.0,0.0,15.0,0.0,6.0,0.0,0.0,0.0,0.0,10.0,0.0,C
10 x 18g,gingen instant ginger powder -  brown sugar,per serving (18g),10 , 18g,18g,0.0,0.0,0.0,70.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,D
140 g,nitto royal milk tea 10p,per serving (),1,140 g,,0.0,0.9,0.0,59.0,0.0,0.0,11.6,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,B
480 g,ah huat teh c,per serving (),1,480 g,,0.0,1.6,0.0,134.0,0.0,0.7,24.3,0.0,74.2,0.0,0.0,0.0,0.0,15.6,3.4,D
20 x 2g,tly tea bags - bittergrourd,per serving (100g),20 , 2g,100g,0.0,18.8,0.0,335.0,0.0,43.8,63.2,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.8,B
50 x 2g,ta-fu tea bags - genmai cha (non staple),per serving (100g),50 , 2g,100g,0.0,0.0,30.0,110.0,0.0,1.0,20.0,0.0,25.0,0.0,3.5,0.0,0.0,15.0,3.5,D
