Drink Volume,Drink Name,Attributes,Energy,Protein,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Carbohydrate,Total Sugars,Dietary Fibre,Sodium,Vitamin B1,Vitamin B6,Vitamin C,Sugars,Vitamin E,Beta Carotene,Vitamin A,Total Sugar,Vitamin B3,Vitamin D3,Carbohydrates,Calcium,Iron,Potassium,Niacinamide,Vitamin B,Anthocyanins,Calories,Thiamin,Vitamin D,Folate,Folic Acid,Total Carbohydrate,Saturates,Salt,Sugar,Vitamin,Fat,Fibre,Includes Added Sugars,Fiber,fat,sugars,Fats,saturates,Saturated Fats,fats,Saturaed Fat,Per Serving,Total Calories,Dietary Fiber,Proteins
1.89L,Sunkist Fruit Bottle Juice - Apple,Per Serving (100ml),42kcal,0.2g,0.0g,0.0g,0.0g,0mg,10.4g,9.9g,0.0g,7mg,0.3mg,0.8mg,36.0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 250ml,Pokka Packet Drink - Carrot Juice,Per Serving (250g),103kcal,0g,0g,,,,25.8g,,,12.5mg,,,32.5mg,24.5g,6.3mg,3980mcg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.89L,Sunkist Fruit Bottle Juice - Orange,Per Serving (250ml),108kcal,0.5g,0.0g,0.0g,0.0g,0mg,26.3g,24.8g,0.3g,13mg,,,150.0mg,,3.8mg,,470mcg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946ml,F&N NutriWell Reduced Sugar Drink - Chrysanthemum & Wolfberry,Per Serving (250ml),65kcal,0g,0g,0g,,0mg,15.5g,,0g,18mg,,,,15g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1L,Marigold 100% Packet Juice - Tropical Fruits,Per Serving (250ml),118kcal,1.3g,0g,0g,,0mg,28.3g,,0g,5mg,,,38mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 250ml,Pokka Packet Drink - Kiyo Kyoho Grape,Per Serving (100ml),43kcal,0.0g,0.0g,0.0g,,,10.8g,,,,,,3mg,,0.85mg,,63mcg,10.7g,1.35mg,0.21mcg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5L,Minute Maid Plus+ Fruit Drink - Orange,Per Serving (240ml),103kcal,0g,0g,,,,25.4g,,,29mg,,,6mg,22.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 200ml,Marigold 100% Packet Juice - Tropical Fruits,Per 100ml,44kcal,0.1g,0.0g,0.0g,0.0g,0mg,10.8g,,0.0g,2mg,,,15mg,,,,,10.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5L,Pokka Bottle Drink - Kiyo Kyoho Grape,Per Serving (100ml),43kcal,0.0g,0.0g,0.0g,,,10.8g,,,,,,3mg,,0.85mg,,63mcg,10.7g,1.35mg,0.21mcg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 200ml,Marigold 100% Packet Juice - Berries Mixed Fruits,Per Serving (200ml),97kcal,0.6g,0.0g,0.0g,0.0g,0mg,23.6g,,0.0g,10mg,,,18mg,,,,,22.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946ml,Del Monte Premium Fruit Bottle Juice - Cranberry,Per Serving (240ml),118kcal,0.2g,0g,0g,0g,,,29.3g,0.2g,22mg,,,,,,,,,,,29.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 250ml,Pokka Packet Drink - Mixed Berries & Carrot Juice,Per Serving (250ml),108kcal,0.0g,0.0g,0.0g,,,26.8g,26.8g,,13mg,,,8mg,,6.3mg,1750mcg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946ml,Sunsweet 100% Prune Bottle Juice,Per Serving (100ml),76kcal,0.7g,0g,0g,0g,0g,18.8g,,1.1g,4mg,,,,17.7g,,,0.3mg,,,,,13mg,1.3mg,298mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 140ml,YOU-C1000 Vitamin Bottle Drink - Lemon,Per Serving (140ml),65kcal,0g,0g,,,,16g,,,99mg,,,"1,000mg",16g,2.3mg,,,,,,,,,,2.3mg,11mg,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5L,Pokka Bottle Drink - Fresh Pomegranate Juice,Per Serving (250ml),103kcal,0.0g,0.0g,0.0g,,,25.5g,,,,,,147.5mg,,4.20mg,,,22.5g,3.38mg,,,,,,,,1000mcg,,,,,,,,,,,,,,,,,,,,,,,,,
946ml,"Del Monte Premium Prune Bottle Juice - Vitamin A, C, E",Per Serving (100ml),64kcal,0.7g,0g,0g,0g,,,10.0g,1.4g,18mg,,,60mg,,3.7mg,,241 µg RE,,,,15.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 250ml,Pokka Packet Drink - Guava Juice,Per Serving (250g),120kcal,0g,0g,,,,30g,,,15mg,,,20mg,30g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5L,Florida's Natural 100% Orange Juice - No Pulp & Calcium,Per Serving (240mL),,2g,0g,,,,26g,,,0mg,,,120%,22g,,,,,,,,35%,,450mg,,,,110,10%,25%,15%,,,,,,,,,,,,,,,,,,,,,
946ml,Ligo Brand Bottle Juice - Prune,Per Serving (240ml),570kJ,2g,0g,0g,0g,0mg,41g,,1g,10mg,,,15%,22g,,,4%,,,,,,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1L,Ceres 100% Fruit Juice - Cranberry,Per Serving (200ml),96kcal,0g,0g,0g,0g,,22g,,0g,10mg,,,12mg,22g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5L,Minute Maid Pulpy Bottle Juice Drink - Tropical,Per Serving (240ml),108kcal,0g,0g,,,,26.6g,,,22mg,,,,23.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946ml,Del Monte Premium Prune Bottle Juice - Calcium & Folic Acid,Per Serving (100ml),67kcal,0.7g,0g,0g,0g,,,9.9g,1.1g,19mg,,,,,,,,,,,16.0g,83mg,,,,,,,,,,43 µg,,,,,,,,,,,,,,,,,,,,
1L,Ceres 100% Juice Blend Packet Drink - Ruby Grapefruit,Per Serving (200ml),470kJ,0g,0g,0g,0g,,26g,,0g,5mg,,,60mg,26g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1L,PomeFresh Juice Bottle Drink - Pomegranate,Per Serving (237ml),,0g,0g,0g,0g,0mg,,,0g,14mg,,,,31g,,,,,,,,,,588mg,,,,143kcal,,,,,36g,,,,,,,,,,,,,,,,,,,
750ml,Royal Select Sparkling Juice - Red Grape,Per Serving,68kcal,0g,0g,,,,17g,,,,,,,17g,,,,,,,,,,,,,,,,,,,,0g,0g,,,,,,,,,,,,,,,,,
473ml,Snapple Bottle Drink - Grapeade,Per Serving (1 Bottle),0g,0g,0g,0g,0g,,46g,,,10mg,,,,,,,,,,,,,,,,,,,,,,,,,,46g,,,,,,,,,,,,,,,,
1L,Tipco 100% Coconut Water,Per Serving (200ml),45kcal,0.4g,0g,0g,,0mg,11.2g,,0g,36mg,,,,10.1g,,,,,,,,,,348mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 140ml,YOU-C1000 Vitamin Bottle Drink - Apple,Per Serving (140ml),60kcal,0.0g,0.0g,0.0g,,,14.0g,14.0g,,45mg,,,,,,,,,,,,,,,2.0mg,,,,,,,,,,,,1000mg,,,,,,,,,,,,,,,
30 x 140ml (CTN),YOU-C1000 Vitamin Bottle Drink - Orange,Per Serving (140ml),78kcal,0.0g,0.0g,0.0g,,,19.5g,,,61mg,,,1000mg,19.5g,2.3mg,,,,,,,,,,2.3mg,,,,,,,,,,,,,,,,,,,,,,,,,,,
750 ML,Marks & Spencer Lemon Squash,Per Serving (),1kcal,0.1g,,0.1g,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03g,0.1g,,0.1g,0.5g,,,,,,,,,,,,,
1 L,Del Monte 100% Pineapple Juice w Vit AC&E,Per Serving (),,0g,,,,0mg,,,,5mg,,,,23g,,,,,,,29g,,,,,,,120kcal,,,,,,,,,,0g,,,,,,,,,,,,,,
946ml,R.W. Knudsen Family Organic 100% Bottle Juice - Just Prune,Per Serving (240ml),,1g,0g,0g,,,,35g,3g,15mg,,,,,,,,,,,,,2mg,644mg,,,,180kcal,,,,,46g,,,,,,,0g,,,,,,,,,,,,
2 X 240ML,Del Monte Pineapple Juice w/Fibre - Bundle of 2,Per Serving (),,0g,,,,0mg,,,,5mg,,,,22g,,,,,,,29g,,,,,,,120kcal,,,,,,,,,,0g,,,4g,,,,,,,,,,,
1 L,Marks & Spencer Cloudy Apple Juice,Per Serving (),43kcal,0.1g,,0.1g,,,10.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01g,10.2g,,0.1g,0.5g,,,,,,,,,,,,,
1 L,Marks & Spencer Lemon & Lime High Juice,Per Serving (),3kcal,0.1g,,0.1g,,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05g,0.2g,,0.1g,0.5g,,,,,,,,,,,,,
1 L,Marks & Spencer Smooth Orange Juice,Per Serving (),40kcal,0.9g,,0.1g,,,9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01g,9g,,0.1g,0.5g,,,,,,,,,,,,,
6 X 355ML,HARMLESS HARVEST ORGANIC COCONUT WATER 6 X 355ML,Per Serving (0g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,20g,,,,,,,,,
750 ML,Aureli Pure Juice - Blueberry Red Beet Purple Carrot Apple,Per Serving (0.5g),32kcal,0.5g,,,,,7.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03g,,,,,,,,6.5g,0g,0g,,,,,,,
750 ML,James White Organic Pure Juice - Red Beetroot With Ginger,Per Serving (0.9g),31kcal,0.9g,,,,,6.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08g,5g,,0g,,,,,,,,0g,,,,,,
1 X 330ML,Cocoloco Coconut Water,Per Serving (),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6g,,,,0g,,,,,
1 L,Marks & Spencer Smooth Orange Juice,Per Serving (),42kcal,0.5g,,0.1g,,,9.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05g,9.2g,,0.1g,0.1g,,,,,,,,,,,,,
750 ML,Aureli Organic Pure Juice - Carrot,Per Serving (0.6g),35kcal,0.6g,,,,,8.1g,,,,,,,6.8g,,,,,,,,,,,,,,,,,,,,,0.01g,,,0.1g,,,,,,,,,,0g,,,,
1000 ML,Kirei Kochi Ice Sweetened Yuzu Drink Concentrate,Per Serving (100ml),,0.2g,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2g,,,,,,,,
500 ML,CocoCoast Natural Coconut Water with Yuzu,Per Serving (250),92kj,0g,,0g,,,5.5g,5g,,25mg,,,,,,,,,,,,,,82mg,,,,,,,,,,,,,,0g,,,,,,,,,,,100ml,,,
750 ML,James White Organic Mixed Vegetable Juice,Per Serving (0.7g),27kcal,0.7g,,,,,5.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04g,4.7g,,0.1g,,,,,,,,0g,,,,,,
500 ML,CocoCoast Natural Coconut Water with Passionfruit,Per Serving (250),92kj,0g,,0g,,,5.5g,5g,,25mg,,,,,,,,,,,,,,85mg,,,,,,,,,,,,,,0g,,,,,,,,,,,100ml,,,
1 L,Marks & Spencer Apple Juice From Concentrate,Per Serving (),44kcal,0.1g,,0.1g,,,10.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1g,10.3g,,0.1g,0.1g,,,,,,,,,,,,,
500 ML,CocoCoast Natural Coconut Water,Per Serving (250),92kj,0g,,0g,,,5.5g,5g,,25mg,,,,,,,,,,,,,,95mg,,,,,,,,,,,,,,0g,,,,,,,,,,,100ml,,,
500 ML,CocoCoast Natural Coconut Water with Lychee,Per Serving (250),92kj,0g,,0g,,,5.5g,5g,,25mg,,,,,,,,,,,,,,82mg,,,,,,,,,,,,,,0g,,,,,,,,,,,100ml,,,
24 X 325ML,Sundrop Lime Juice 325ml x 24 cans,Per Serving (),,,,,,,,,,,,,,5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100ml,,,
1 L,Marks & Spencer Pink Grapefruit High Juice,Per Serving (),5kcal,0.1g,,0.1g,,,1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03g,1g,,0.1g,0.5g,,,,,,,,,,,,,
30 x 140ml (CTN),YOU-C1000 Vitamin Bottle Drink - Apple,Per Serving (140ml),60kcal,0.0g,0.0g,0.0g,,,14.0g,14.0g,,45mg,,,,,,,,,,,,,,,2.0mg,,,,,,,,,,,,1000mg,,,,,,,,,,,,,,,
12 X 500ML,CocoCoast Natural Coconut Water with Ginger,Per Serving (250),92kj,0g,,0g,,,6g,5.5g,,20mg,,,,,,,,,,,,,,95mg,,,,,,,,,,,,,,0g,,,,,,,,,,,100ml,,,
12 X 1L,The Berry Company Pomegranate Juice,Per Serving (100ml),,,,,,,10.2g,,,,,,,9.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 X 1L,The Berry Company Goji Berry Juice,Per Serving (100ml),,,,,,,10g,,,,,,,9.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 X 1L,The Berry Company Acai Berry Juice,Per Serving (100ml),,,,,,,10.2g,,,,,,,9.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 X 325ML,Sundrop Orange Juice (325ml x 4 cans) - Pack of 2,Per Serving (),,,,,,,,,,,,,,5.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100ml,,,
4 X 325ML,Sundrop Lime Juice (325ml x 4 cans) - Pack of 2,Per Serving (),,,,,,,,,,,,,,5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100ml,,,
24 X 325ML,Sundrop Orange Juice 325ml x 24 cans,Per Serving (),,,,,,,,,,,,,,5.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100ml,,,
3 X 200ML,Marks & Spencer Percy Pig Fruit Juice Drink,Per Serving (),46kcal,0.4g,,0.1g,,,10.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01g,10.3g,,0.1g,0.4g,,,,,,,,,,,,,
330 ML,Wolf + Wald Organic Sparkling Apple Juice,Per Serving (330),,0.1g,0.1g,,,,,5.3g,,0g,,,,,,,,,,,,,,,,,,,,,,,5.5g,,,,,,,,,,,,,,,,,24kcal,0g,
250 ML,Muno Organic 100% Sea Buckthorn Juice,Per Serving (100),236kj,,,,,,,,,0.02g,,,78.5mg,5.5g,,,,,,,10.4g,,,,,,,,,,,,,,,,,,,,2g,,,0.65g,,,,,,,,1.1g
6 X 580ML,BOMY BOMY Grape Juice,Per Serving (),,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0g,,0g,,,,,,,,,,,,,,
2L,Marigold Peel Fresh Bottle Juice - Lime,Per Serving (250ml),110kcal,0g,0g,0g,,0mg,27.3g,,0g,20mg,,,38mg,,8mg,,500mcg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
